"","date","hour","Temperature","kWh"
"125",2016-10-04,4,57.9,131.810660500094
"126",2016-10-04,5,57.9,130.396588939985
"127",2016-10-04,6,57.9,126.653330012721
"128",2016-10-04,6,59,128.262660167315
"129",2016-10-04,7,60.1,263.086178010621
"130",2016-10-04,7,60.1,265.415365377775
"131",2016-10-04,8,61,265.851597263596
"132",2016-10-04,9,62.1,267.696568022493
"133",2016-10-04,9,62.1,267.696568022493
"134",2016-10-04,10,63,269.928408501478
"135",2016-10-04,10,62.1,270.601133595321
"136",2016-10-04,11,62.1,269.041165606459
"137",2016-10-04,12,61,266.697239094498
"138",2016-10-04,13,61,265.283167534389
"139",2016-10-04,14,60.1,263.668504692762
"140",2016-10-04,15,60.1,264.437724071054
"141",2016-10-04,16,57.9,258.155280037345
"142",2016-10-04,17,55.9,251.6318627123
"143",2016-10-04,18,55,250.890516246034
"144",2016-10-04,19,55,245.30370398174
"145",2016-10-04,20,54,110.903928915748
"146",2016-10-04,21,53.1,107.493657480956
"147",2016-10-04,22,52,101.170831437429
"148",2016-10-04,23,51.1,97.7605600026369
"149",2016-10-05,0,50,130.800497916095
"150",2016-10-05,1,50,131.71561372314
"151",2016-10-05,2,50,130.301542163031
"152",2016-10-05,3,48,123.971966010604
"153",2016-10-05,4,48.9,122.418748130642
"154",2016-10-05,6,48.9,119.590605010423
"155",2016-10-05,6,48.9,119.590605010423
"156",2016-10-05,7,51.1,253.694265641169
"157",2016-10-05,8,55,262.304638125739
"158",2016-10-05,9,57.9,267.996112205249
"159",2016-10-05,10,59,271.490795128557
"160",2016-10-05,11,59,270.076723568448
"161",2016-10-05,12,60.1,270.12608573418
"162",2016-10-05,13,59,267.24858044823
"163",2016-10-05,14,59,266.36808766211
"164",2016-10-05,15,57.9,261.161395009005
"165",2016-10-05,16,57,258.430598776956
"166",2016-10-05,17,55.9,253.757484897841
"167",2016-10-05,18,55,250.493109891802
"168",2016-10-05,19,55,249.079038331692
"169",2016-10-05,20,55,115.802553077597
"170",2016-10-05,21,55,114.388481517487
"171",2016-10-05,22,54,109.521932778328
"172",2016-10-05,23,52,101.202906860118
"173",2016-10-06,0,52,139.831074459736
"174",2016-10-06,1,51.1,134.771090860532
"175",2016-10-06,2,50,128.302368388252
"176",2016-10-06,3,51.1,131.942947740314
"177",2016-10-06,4,50,128.919546025611
"178",2016-10-06,5,48.9,122.45082355333
"179",2016-10-06,6,48.9,123.365939360376
"180",2016-10-06,7,52,259.465799865804
"181",2016-10-06,8,55,268.409159842846
"182",2016-10-06,9,57.9,275.604449658014
"183",2016-10-06,10,59,275.26612947851
"184",2016-10-06,11,62.1,280.958416183167
"185",2016-10-06,12,63,281.394648068987
"186",2016-10-06,13,64,282.02512744
"187",2016-10-06,14,66,276.885161812018
"188",2016-10-06,15,64,279.196984319781
"189",2016-10-06,16,64,277.249333985683
"190",2016-10-06,17,63,273.790711494452
"191",2016-10-06,18,61,263.580187495346
"192",2016-10-06,19,61,257.31390002831
"193",2016-10-06,20,60.1,127.039327235211
"194",2016-10-06,21,59,122.899792130086
"195",2016-10-06,22,57,114.580766211876
"196",2016-10-06,23,55.9,109.90765233276
"197",2016-10-07,0,54,137.312634753914
"198",2016-10-07,1,55.9,148.771460536682
"199",2016-10-07,2,54,140.258999758427
"200",2016-10-07,3,57,152.647680493047
"201",2016-10-07,4,54,140.876177395786
"202",2016-10-07,5,54,143.441005367243
"203",2016-10-07,6,54,142.026933807134
"204",2016-10-07,7,57,278.174332743854
"205",2016-10-07,8,60.1,283.478937103274
"206",2016-10-07,9,64,288.498092401515
"207",2016-10-07,10,64.9,289.080220716088
"208",2016-10-07,11,66,289.12958288182
"209",2016-10-07,13,66.9,287.618164433542
"210",2016-10-07,14,66,282.36433966172
"211",2016-10-07,15,64.9,277.303543437368
"212",2016-10-07,16,64.9,273.560284510104
"213",2016-10-07,17,63,265.04782373185
"214",2016-10-07,18,63,265.962939538895
"215",2016-10-07,19,63,266.198580143198
"216",2016-10-07,20,62.1,133.934557584316
"217",2016-10-07,21,60.1,125.081952892117
"218",2016-10-07,22,59,120.942417786991
"219",2016-10-07,23,59,123.84698335982
"220",2016-10-08,0,57.9,87.0889531402958
"221",2016-10-08,1,55.9,78.7699272220857
"222",2016-10-08,2,54,71.9071786082433
"223",2016-10-08,3,54,70.493107048134
"224",2016-10-08,4,54,71.4082228551793
"225",2016-10-08,5,52,61.2935883438042
"226",2016-10-08,6,53.1,62.6049803287115
"227",2016-10-08,7,53.1,187.278814337857
"228",2016-10-08,8,55.9,196.075465260999
"229",2016-10-08,9,57.9,197.247710926053
"230",2016-10-08,10,59,197.442969520538
"231",2016-10-08,11,63,209.83880667663
"232",2016-10-08,12,64,211.877212295571
"233",2016-10-08,13,64,209.929561961473
"234",2016-10-08,14,63,201.617692464736
"235",2016-10-08,14,64,203.420457479374
"236",2016-10-08,15,64.9,203.323110591205
"237",2016-10-08,16,64.9,201.909039031096
"238",2016-10-08,16,66.9,204.835093857631
"239",2016-10-08,17,66.9,205.750209664676
"240",2016-10-08,18,66.9,204.336138104567
"241",2016-10-08,19,66.9,202.922066544457
"242",2016-10-08,19,66,199.276154505362
"243",2016-10-08,20,66,68.3288566184211
"244",2016-10-08,20,66,68.3288566184211
"245",2016-10-08,21,64.9,63.6557427393059
"246",2016-10-08,22,64.9,62.2416711791968
"247",2016-10-08,23,64,54.8525002128382
"248",2016-10-09,0,63,56.0392959866675
"249",2016-10-09,1,63,54.6252244265583
"250",2016-10-09,1,64.9,59.7341638789204
"251",2016-10-09,2,64,54.6741802797163
